Source des données,N° page,Type de centre,Domaine, Acte, catégorie d’actes, Finalité, Base légale, Dossier, Coût, Quittance/Reçu/Timbre, Délai de délivrance, Validité
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,6 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/ECB: Prélèvement urétral,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,6 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/ECB: Prélèvement (PV – Pus) plus ATB,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,7 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/Recherche d’hématozoaires (GE),SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,800 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/Recherche de cryptocoque,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/Recherche de microfilaire (RMF) Diurne,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 600 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/Nocturne,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,"2,400",Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/Recherche de parasites dans les selles (KOP),SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 600 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Bactériologie – Parasitologie/ECBU,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,4 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Albumine / Sucre Urine,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,600 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Amylase,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Urée,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,BiochimieBilirubinémie totale,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Bilirubinémie conjuguée,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Cholestérol Total,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Cholestérol HDL,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 600 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Cholestérol LDL,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 600 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Créatinine,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Électrophorèse de l’hémoglobine,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,3 400 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,24,[CHUP-CDG],Santé,Biochimie/Électrophorèse des protéines,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,5 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,25,[CHUP-CDG],Santé,Biochimie/Glycémie à Jeûn,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,25,[CHUP-CDG],Santé,Biochimie/Ionogramme (par ion),SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,25,[CHUP-CDG],Santé,Biochimie/Phosphatase alcaline,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
