Source des données,N° page,Type de centre, Acte, catégorie d’actes, Finalité, Base légale, Dossier, Coût, Quittance/Reçu/Timbre, Délai de délivrance, Validité,Précision coût,Coût Minimum,Coût Maximum
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Électrophorèse de l’hémoglobine,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Glycémie à jeûn,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Transaminases (ALAT – ASAT),SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",2000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie /CRP,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",2000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie /Uricémie,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",2000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Amylasémie,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1500,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Azotémie,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Bilirubinémie totale,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1500,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Bilirubinémie conjuguée,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1500,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,23,[CMA],Actes de Laboratoire : Biochimie / Ionogramme complet,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",6000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Hématologie /G S (système ABO. Rhésus),SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Hématologie / Hémogramme (NFS,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",3000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Hématologie / Taux d’hémoglobine,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Hématologie / Taux de réticulocytes,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",3000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Hématologie / TS-TC,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Hématologie / VS,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Sérologie /ASLO,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",3000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Sérologie /BW/RPR,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",1500,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Sérologie /Hépatite virale Ag HBs,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",2000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Sérologie /Sérodiagnostic de Widal,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",2500,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DES CENTRES DE SANTÉ ET DE PROMOTION SOCIALE (CSPS) ET DES CENTRES MÉDICAUX AVEC ANTENNE CHIRURGICALE (CMA) OU HÔPITAUX DE DISTRICTS BURKINA FASO,24,[CMA],Actes de Laboratoire : Sérologie /TPHA/VDRL,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.","Bulletin d’examen
 
 ",2000,quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,
